"","V1","V2","V3","V4","V5","V6","value"
"13343","Montipora_capitata_HIv3___Scaffold_5_307262","Montipora_capitata_HIv3___RNAseq.g21405.t1",146,-21.9,"63.64%","68.18%",-0.804756969411443
"14739","Montipora_capitata_HIv3___Scaffold_5_375083","Montipora_capitata_HIv3___RNAseq.g36441.t1",151,-20.81,"66.67%","72.22%",-0.762743350583755
"14891","Montipora_capitata_HIv3___Scaffold_5_375083","Montipora_capitata_HIv3___TS.g50854.t1",158,-21.73,"66.67%","71.43%",-0.757601421355283
"15016","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___RNAseq.g20458.t1",151,-20.81,"68.42%","84.21%",-0.711277920695849
"15138","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___RNAseq.g30509.t1",164,-21.34,"68.18%","81.82%",-0.899263934985318
"15284","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___RNAseq.g44153.t1",164,-23.26,"84.21%","84.21%",-0.867759508541077
"15501","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___TS.g41793.t1",154,-23.25,"68.18%","72.73%",-0.87742587760175
"15503","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___TS.g42423.t1",166,-23.64,"65.22%","82.61%",-0.90097264581965
"15509","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___TS.g44851.t1",157,-24.57,"65.22%","73.91%",-0.758155155071306
"16185","Montipora_capitata_HIv3___Scaffold_6_439094","Montipora_capitata_HIv3___RNAseq.g36393.t1",140,-20.09,"100.00%","100.00%",-0.757375280370806
"17336","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___RNAseq.g25318.t1",173,-29,"80.00%","80.00%",-0.911081217701371
"17442","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___RNAseq.g4335.t3",145,-20.15,"100.00%","100.00%",-0.933019292020486
"17879","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___RNAseq.g43850.t1",178,-22.03,"84.21%","94.74%",-0.905970636731505
"19798","Montipora_capitata_HIv3___Scaffold_8_542727","Montipora_capitata_HIv3___RNAseq.g3874.t1",162,-21.01,"73.68%","84.21%",-0.840937343186786
"24212","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g16009.t1",156,-25.62,"76.47%","82.35%",-0.835290227213349
"24430","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g32899.t1",167,-30.11,"70.00%","90.00%",-0.856561960966223
"24572","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g41943.t1",151,-20.05,"65.00%","75.00%",-0.77016715213637
"24617","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g45310.t1",142,-20.86,"77.78%","100.00%",-0.813775529762213
"24621","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g45413.t1",154,-22.72,"84.62%","84.62%",-0.951661842863831
"24831","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___TS.g26667.t4",153,-31.56,"65.22%","69.57%",-0.892900628692447
"25370","Montipora_capitata_HIv3___Scaffold_9_625013","Montipora_capitata_HIv3___RNAseq.g45295.t1",146,-20.79,"73.68%","78.95%",-0.827423634315305
"742","Montipora_capitata_HIv3___Scaffold_10_645863","Montipora_capitata_HIv3___RNAseq.g8731.t1",148,-20.09,"81.82%","90.91%",-0.758084598234078
"1211","Montipora_capitata_HIv3___Scaffold_10_667068","Montipora_capitata_HIv3___RNAseq.g49502.t1",156,-20.68,"76.47%","82.35%",-0.728422549734864
"1526","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g2016.t1",160,-25.93,"73.68%","89.47%",-0.719279452459501
"1959","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g562.t1",146,-20.26,"70.59%","76.47%",-0.834990915620684
"2091","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___TS.g33157.t3",187,-39.13,"94.44%","94.44%",-0.85202285581666
"2781","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g2016.t1",160,-25.93,"73.68%","89.47%",-0.719279452459501
"3214","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g562.t1",146,-20.26,"70.59%","76.47%",-0.834990915620684
"3346","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___TS.g33157.t3",187,-39.13,"94.44%","94.44%",-0.85202285581666
"4152","Montipora_capitata_HIv3___Scaffold_11_841599","Montipora_capitata_HIv3___RNAseq.g47035.t1",140,-20.99,"100.00%","100.00%",-0.742355873579671
"4230","Montipora_capitata_HIv3___Scaffold_11_841599","Montipora_capitata_HIv3___RNAseq.g5200.t1",146,-23.04,"65.00%","70.00%",-0.751662284857485
"4252","Montipora_capitata_HIv3___Scaffold_11_841599","Montipora_capitata_HIv3___RNAseq.g7034.t1",162,-20.32,"70.59%","88.24%",-0.839287493464013
"5847","Montipora_capitata_HIv3___Scaffold_13_949160","Montipora_capitata_HIv3___RNAseq.g5370.t1",151,-20.73,"71.43%","85.71%",-0.753224757516311
"5848","Montipora_capitata_HIv3___Scaffold_13_949160","Montipora_capitata_HIv3___RNAseq.g5370.t1",155,-22.32,"66.67%","77.78%",-0.753224757516311
"6191","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g15825.t1",160,-25.43,"80.00%","86.67%",-0.700684518345595
"6628","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g43862.t1",151,-23.43,"66.67%","83.33%",-0.882139488209347
"6907","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___TS.g32143.t1b",156,-22.9,"66.67%","93.33%",-0.785815007214359
"6940","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___TS.g40087.t2",148,-21.34,"60.00%","86.67%",-0.894025272659725
"6981","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___TS.g7322.t1",156,-22.29,"66.67%","93.33%",-0.739180379761724
"8045","Montipora_capitata_HIv3___Scaffold_14_994729","Montipora_capitata_HIv3___RNAseq.g2901.t1",176,-24.98,"84.21%","84.21%",-0.834675402740696
"8620","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g2016.t1",160,-25.93,"73.68%","89.47%",-0.719279452459501
"9053","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g562.t1",146,-20.26,"70.59%","76.47%",-0.834990915620684
"9185","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___TS.g33157.t3",187,-39.13,"94.44%","94.44%",-0.85202285581666
"10932","Montipora_capitata_HIv3___Scaffold_2_71488","Montipora_capitata_HIv3___RNAseq.g34920.t1",157,-22.32,"85.71%","92.86%",-0.836502356776555
"11345","Montipora_capitata_HIv3___Scaffold_2_71488","Montipora_capitata_HIv3___TS.g49646.t1",168,-27.66,"82.35%","94.12%",-0.730455064949744
"11649","Montipora_capitata_HIv3___Scaffold_2_87665","Montipora_capitata_HIv3___RNAseq.g8731.t1",148,-20.09,"81.82%","90.91%",-0.758084598234078
"11755","Montipora_capitata_HIv3___Scaffold_2_96328","Montipora_capitata_HIv3___RNAseq.g14196.t1",156,-24.49,"57.89%","84.21%",-0.830669699773049
"13087","Montipora_capitata_HIv3___Scaffold_4_264216","Montipora_capitata_HIv3___TS.g33157.t3",157,-24.44,"91.67%","91.67%",-0.793459365989703
"14256","Montipora_capitata_HIv3___Scaffold_5_322659","Montipora_capitata_HIv3___RNAseq.g8731.t1",148,-20.09,"81.82%","90.91%",-0.758084598234078
"14949","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___RNAseq.g14196.t1",158,-23.41,"64.00%","72.00%",-0.796485768247226
"15386","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___RNAseq.g8214.t1",155,-24.83,"66.67%","79.17%",-0.773747537665279
"15815","Montipora_capitata_HIv3___Scaffold_6_419669","Montipora_capitata_HIv3___RNAseq.g8731.t1",148,-20.09,"81.82%","90.91%",-0.758084598234078
"15914","Montipora_capitata_HIv3___Scaffold_6_439094","Montipora_capitata_HIv3___RNAseq.g11914.t2",161,-20.44,"70.00%","75.00%",-0.792806889112686
"16161","Montipora_capitata_HIv3___Scaffold_6_439094","Montipora_capitata_HIv3___RNAseq.g33914.t1",173,-23.78,"81.25%","100.00%",-0.895411227093336
"16172","Montipora_capitata_HIv3___Scaffold_6_439094","Montipora_capitata_HIv3___RNAseq.g3556.t1",152,-20.59,"63.64%","72.73%",-0.882227646443044
"16524","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___RNAseq.g11172.t1",146,-22.8,"60.71%","71.43%",-0.779434670778273
"16629","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___RNAseq.g20243.t1",158,-23.99,"68.42%","84.21%",-0.726416746689182
"16815","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___RNAseq.g35043.t1",150,-20.7,"66.67%","76.19%",-0.906504181732354
"16951","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___RNAseq.g45489.t1",167,-20.13,"76.19%","80.95%",-0.773026889140441
"17141","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___TS.g25677.t1",166,-22.57,"76.19%","85.71%",-0.861310330385703
"17188","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___TS.g36598.t1",168,-22.21,"71.43%","85.71%",-0.861969919120609
"17719","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___RNAseq.g26656.t2",142,-22.03,"66.67%","72.22%",-0.850313865536521
"19753","Montipora_capitata_HIv3___Scaffold_8_542727","Montipora_capitata_HIv3___RNAseq.g33351.t1",156,-25.35,"66.67%","70.83%",-0.799317414251577
"20774","Montipora_capitata_HIv3___Scaffold_8_565039","Montipora_capitata_HIv3___RNAseq.g14196.t1",156,-23,"57.89%","84.21%",-0.831198181426808
"24280","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g21685.t1",153,-21.93,"68.75%","81.25%",-0.935155526699573
"24352","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g27071.t1",155,-21.69,"65.00%","80.00%",-0.735357381117353
"24353","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g27071.t1",161,-24.65,"75.00%","80.00%",-0.735357381117353
"24383","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g29267.t1",160,-21.02,"71.43%","76.19%",-0.817486482442119
"24622","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g45451.t1",152,-20.52,"72.22%","77.78%",-0.835929807741535
"24683","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g50079.t2",151,-21.95,"66.67%","71.43%",-0.861186637813902
"24832","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___TS.g26975.t1",149,-20.29,"65.00%","75.00%",-0.842509943984478
"25248","Montipora_capitata_HIv3___Scaffold_9_625013","Montipora_capitata_HIv3___RNAseq.5043_t",161,-21.61,"92.86%","92.86%",-0.894264087426937
"25369","Montipora_capitata_HIv3___Scaffold_9_625013","Montipora_capitata_HIv3___RNAseq.g45019.t1",158,-21.34,"83.33%","83.33%",-0.915793237591871
"25405","Montipora_capitata_HIv3___Scaffold_9_625013","Montipora_capitata_HIv3___RNAseq.g8176.t1",168,-23.69,"80.00%","100.00%",-0.794388866553984
"495","Montipora_capitata_HIv3___Scaffold_10_645863","Montipora_capitata_HIv3___RNAseq.g14952.t1",151,-20.74,"90.00%","100.00%",-0.731559277501242
"977","Montipora_capitata_HIv3___Scaffold_10_667068","Montipora_capitata_HIv3___RNAseq.g24961.t1",154,-22.03,"80.00%","86.67%",-0.759266387206145
"1398","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.10831_t",157,-26.8,"70.00%","85.00%",-0.881722219952282
"1730","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g34613.t1",159,-26.81,"61.11%","88.89%",-0.868330317069754
"1733","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g35078.t1",142,-20.7,"57.14%","71.43%",-0.78998343153391
"2653","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.10831_t",157,-26.8,"70.00%","85.00%",-0.881722219952282
"2985","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g34613.t1",159,-26.81,"61.11%","88.89%",-0.868330317069754
"2988","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g35078.t1",142,-20.7,"57.14%","71.43%",-0.78998343153391
"4316","Montipora_capitata_HIv3___Scaffold_11_841599","Montipora_capitata_HIv3___TS.g11535.t1",148,-23.05,"72.22%","72.22%",-0.85699422983023
"6099","Montipora_capitata_HIv3___Scaffold_13_949160","Montipora_capitata_HIv3___TS.g5024.t2",157,-20.17,"68.18%","86.36%",-0.784545228155147
"6144","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g12299.t1",159,-23.35,"85.71%","85.71%",-0.732513078952318
"6734","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g49656.t1",152,-20.57,"81.82%","100.00%",-0.778053801621612
"7396","Montipora_capitata_HIv3___Scaffold_14_1018693","Montipora_capitata_HIv3___RNAseq.g8937.t1",159,-21.64,"71.43%","76.19%",-0.770448794264292
"7857","Montipora_capitata_HIv3___Scaffold_14_992284","Montipora_capitata_HIv3___RNAseq.g48484.t1",163,-20.45,"59.09%","81.82%",-0.811227862818954
"8083","Montipora_capitata_HIv3___Scaffold_14_994729","Montipora_capitata_HIv3___RNAseq.g46461.t1",167,-20.08,"87.50%","93.75%",-0.713932309077564
"8428","Montipora_capitata_HIv3___Scaffold_14_999529","Montipora_capitata_HIv3___TS.g1786.t2",169,-23.11,"83.33%","88.89%",-0.769629637272427
"8492","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.10831_t",157,-26.8,"70.00%","85.00%",-0.881722219952282
"8824","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g34613.t1",159,-26.81,"61.11%","88.89%",-0.868330317069754
"8827","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g35078.t1",142,-20.7,"57.14%","71.43%",-0.78998343153391
"10056","Montipora_capitata_HIv3___Scaffold_2_64557","Montipora_capitata_HIv3___RNAseq.g46194.t1",157,-27.64,"85.71%","92.86%",-0.707831139619096
"10466","Montipora_capitata_HIv3___Scaffold_2_67225","Montipora_capitata_HIv3___RNAseq.g49655.t1",172,-20.44,"71.43%","90.48%",-0.707330645807606
"10654","Montipora_capitata_HIv3___Scaffold_2_71488","Montipora_capitata_HIv3___RNAseq.g14835.t2",153,-21.83,"81.25%","87.50%",-0.727888407200472
"11402","Montipora_capitata_HIv3___Scaffold_2_87665","Montipora_capitata_HIv3___RNAseq.g14952.t1",151,-20.74,"90.00%","100.00%",-0.731559277501242
"11983","Montipora_capitata_HIv3___Scaffold_2_96328","Montipora_capitata_HIv3___RNAseq.g9780.t1",161,-20.57,"75.00%","87.50%",-0.826287067996255
"12867","Montipora_capitata_HIv3___Scaffold_4_264216","Montipora_capitata_HIv3___RNAseq.g21957.t1",184,-34.69,"89.47%","89.47%",-0.744253239103254
"13270","Montipora_capitata_HIv3___Scaffold_5_307262","Montipora_capitata_HIv3___RNAseq.g10479.t1",155,-23.16,"81.25%","81.25%",-0.711518265264543
"14009","Montipora_capitata_HIv3___Scaffold_5_322659","Montipora_capitata_HIv3___RNAseq.g14952.t1",151,-20.74,"90.00%","100.00%",-0.731559277501242
"15440","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___TS.g21324.t1",158,-20.81,"68.42%","84.21%",-0.798683990005357
"15568","Montipora_capitata_HIv3___Scaffold_6_419669","Montipora_capitata_HIv3___RNAseq.g14952.t1",151,-20.74,"90.00%","100.00%",-0.731559277501242
"16165","Montipora_capitata_HIv3___Scaffold_6_439094","Montipora_capitata_HIv3___RNAseq.g34253.t1",165,-22.96,"76.19%","85.71%",-0.921964659810538
"16535","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___RNAseq.g12162.t1",155,-20.36,"63.64%","81.82%",-0.901626438978325
"17495","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___RNAseq.g8737.t1",152,-26.82,"75.00%","75.00%",-0.909596971660837
"17602","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___RNAseq.g11945.t1",148,-21.51,"64.00%","68.00%",-0.930417032105959
"19968","Montipora_capitata_HIv3___Scaffold_8_542727","Montipora_capitata_HIv3___RNAseq.g9780.t1",160,-21.39,"78.95%","84.21%",-0.871380531915393
"20364","Montipora_capitata_HIv3___Scaffold_8_553085","Montipora_capitata_HIv3___RNAseq.g34610.t2a",164,-30.15,"78.95%","89.47%",-0.762345007592149
"20807","Montipora_capitata_HIv3___Scaffold_8_565039","Montipora_capitata_HIv3___RNAseq.g19563.t1",165,-23.18,"77.78%","88.89%",-0.794569798920286
"24233","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g17496.t1",150,-24.19,"61.90%","66.67%",-0.822670148324773
"24425","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g32460.t1",151,-20.29,"66.67%","71.43%",-0.911455321675663
"24472","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g36220.t1",141,-21.33,"87.50%","100.00%",-0.861058928830338
"24541","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g39803.t1",146,-20.32,"66.67%","66.67%",-0.700917045802163
"25074","Montipora_capitata_HIv3___Scaffold_9_617967","Montipora_capitata_HIv3___RNAseq.g34761.t1",170,-24.2,"80.95%","85.71%",-0.818116964194951
"731","Montipora_capitata_HIv3___Scaffold_10_645863","Montipora_capitata_HIv3___RNAseq.g7498.t1",148,-20.14,"66.67%","66.67%",-0.740477613793873
"1681","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g3126.t1",149,-21.41,"61.11%","83.33%",-0.806453015860472
"1750","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g36059.t1b",183,-39.6,"88.89%","94.44%",-0.785034114289975
"1839","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g41353.t1",145,-22.82,"66.67%","71.43%",-0.71349394154728
"1872","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g43934.t2",155,-24.57,"66.67%","77.78%",-0.716159965676159
"2070","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___TS.g28645.t1c",146,-20.47,"63.64%","68.18%",-0.828019678077298
"2936","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g3126.t1",149,-21.41,"61.11%","83.33%",-0.806453015860472
"3005","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g36059.t1b",183,-39.6,"88.89%","94.44%",-0.785034114289975
"3094","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g41353.t1",145,-22.82,"66.67%","71.43%",-0.71349394154728
"3127","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g43934.t2",155,-24.57,"66.67%","77.78%",-0.716159965676159
"3325","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___TS.g28645.t1c",146,-20.47,"63.64%","68.18%",-0.828019678077298
"3816","Montipora_capitata_HIv3___Scaffold_11_841599","Montipora_capitata_HIv3___RNAseq.g29653.t1",152,-27.89,"70.83%","70.83%",-0.889369229696878
"4120","Montipora_capitata_HIv3___Scaffold_11_841599","Montipora_capitata_HIv3___RNAseq.g44915.t1",197,-42.19,"95.00%","95.00%",-0.759067646918866
"6318","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g23454.t1",146,-22.27,"88.89%","100.00%",-0.771589688349587
"6506","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g35936.t1",155,-22.57,"71.43%","92.86%",-0.724110581024727
"7024","Montipora_capitata_HIv3___Scaffold_14_1017829","Montipora_capitata_HIv3___RNAseq.g26420.t1",180,-34.41,"100.00%","100.00%",-0.808130756367402
"7121","Montipora_capitata_HIv3___Scaffold_14_1017829","Montipora_capitata_HIv3___TS.g27488.t3",147,-20.59,"84.62%","84.62%",-0.724166665030583
"8155","Montipora_capitata_HIv3___Scaffold_14_999529","Montipora_capitata_HIv3___RNAseq.g12768.t1",163,-20.47,"75.00%","80.00%",-0.756477122678567
"8311","Montipora_capitata_HIv3___Scaffold_14_999529","Montipora_capitata_HIv3___RNAseq.g37357.t1",156,-22,"66.67%","70.83%",-0.789501601523262
"8775","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g3126.t1",149,-21.41,"61.11%","83.33%",-0.806453015860472
"8844","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g36059.t1b",183,-39.6,"88.89%","94.44%",-0.785034114289975
"8933","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g41353.t1",145,-22.82,"66.67%","71.43%",-0.71349394154728
"8966","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g43934.t2",155,-24.57,"66.67%","77.78%",-0.716159965676159
"9164","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___TS.g28645.t1c",146,-20.47,"63.64%","68.18%",-0.828019678077298
"9445","Montipora_capitata_HIv3___Scaffold_2_124999","Montipora_capitata_HIv3___RNAseq.g32810.t1",175,-20.42,"68.18%","86.36%",-0.898755362387852
"9957","Montipora_capitata_HIv3___Scaffold_2_64557","Montipora_capitata_HIv3___RNAseq.g37467.t1",157,-21.64,"65.00%","75.00%",-0.942425845284243
"10746","Montipora_capitata_HIv3___Scaffold_2_71488","Montipora_capitata_HIv3___RNAseq.g20759.t1",190,-43.77,"100.00%","100.00%",-0.736138206134034
"11249","Montipora_capitata_HIv3___Scaffold_2_71488","Montipora_capitata_HIv3___TS.g20765.t1",158,-24.01,"86.67%","86.67%",-0.731814393471404
"11638","Montipora_capitata_HIv3___Scaffold_2_87665","Montipora_capitata_HIv3___RNAseq.g7498.t1",148,-20.14,"66.67%","66.67%",-0.740477613793873
"12051","Montipora_capitata_HIv3___Scaffold_2_98529","Montipora_capitata_HIv3___RNAseq.g11864.t1",155,-20.06,"72.73%","72.73%",-0.822959545748024
"12413","Montipora_capitata_HIv3___Scaffold_2_98529","Montipora_capitata_HIv3___TS.g26377.t2",164,-21.11,"82.35%","88.24%",-0.878883980048315
"12518","Montipora_capitata_HIv3___Scaffold_3_149822","Montipora_capitata_HIv3___RNAseq.g19484.t1",160,-20.91,"69.57%","73.91%",-0.72406262161274
"12953","Montipora_capitata_HIv3___Scaffold_4_264216","Montipora_capitata_HIv3___RNAseq.g36059.t1b",167,-24.12,"77.78%","83.33%",-0.76749905942054
"13005","Montipora_capitata_HIv3___Scaffold_4_264216","Montipora_capitata_HIv3___RNAseq.g45007.t1",192,-41.26,"94.74%","94.74%",-0.822632987724815
"13023","Montipora_capitata_HIv3___Scaffold_4_264216","Montipora_capitata_HIv3___RNAseq.g46742.t1",192,-41.26,"94.74%","94.74%",-0.805331659382932
