"","X.query","GOs","Term","Annotated","Significant","Expected","Fisher","ontology","X","V1","V3","V4","V5","V6","value","sig.prop"
"11","Montipora_capitata_HIv3___RNAseq.g46167.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",9543,"Montipora_capitata_HIv3___Scaffold_2_124999",169,-23.68,"68.18%","86.36%",-0.781546421289104,0.0400381315538608
"12","Montipora_capitata_HIv3___RNAseq.g46167.t1","GO:0051641","cellular localization",2732,83,87.62,0.01931,"Biological Processes",9543,"Montipora_capitata_HIv3___Scaffold_2_124999",169,-23.68,"68.18%","86.36%",-0.781546421289104,0.0303806734992679
"13","Montipora_capitata_HIv3___TS.g29852.t2","GO:0008360","regulation of cell shape",119,8,3.82,0.01906,"Biological Processes",9652,"Montipora_capitata_HIv3___Scaffold_2_124999",167,-21.63,"80.00%","80.00%",-0.903910057391043,0.0672268907563025
"14","Montipora_capitata_HIv3___TS.g29852.t2","GO:0051497","negative regulation of stress fiber assembly",13,3,0.42,0.00735,"Biological Processes",9652,"Montipora_capitata_HIv3___Scaffold_2_124999",167,-21.63,"80.00%","80.00%",-0.903910057391043,0.230769230769231
"15","Montipora_capitata_HIv3___RNAseq.g34195.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",10389,"Montipora_capitata_HIv3___Scaffold_2_67225",162,-21.26,"73.68%","84.21%",-0.864032531235664,0.0468085106382979
"16","Montipora_capitata_HIv3___RNAseq.g34195.t1","GO:0007010","cytoskeleton organization",972,40,31.17,0.01676,"Biological Processes",10389,"Montipora_capitata_HIv3___Scaffold_2_67225",162,-21.26,"73.68%","84.21%",-0.864032531235664,0.0411522633744856
"17","Montipora_capitata_HIv3___RNAseq.g34195.t1","GO:0045859","regulation of protein kinase activity",525,24,16.84,0.01518,"Biological Processes",10389,"Montipora_capitata_HIv3___Scaffold_2_67225",162,-21.26,"73.68%","84.21%",-0.864032531235664,0.0457142857142857
"18","Montipora_capitata_HIv3___RNAseq.g34195.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",10389,"Montipora_capitata_HIv3___Scaffold_2_67225",162,-21.26,"73.68%","84.21%",-0.864032531235664,0.0400381315538608
"19","Montipora_capitata_HIv3___RNAseq.g34195.t1","GO:0051641","cellular localization",2732,83,87.62,0.01931,"Biological Processes",10389,"Montipora_capitata_HIv3___Scaffold_2_67225",162,-21.26,"73.68%","84.21%",-0.864032531235664,0.0303806734992679
"20","Montipora_capitata_HIv3___RNAseq.g19668.t1","GO:0051641","cellular localization",2732,83,87.62,0.01931,"Biological Processes",8200,"Montipora_capitata_HIv3___Scaffold_14_999529",159,-21.59,"85.71%","85.71%",-0.83902190336637,0.0303806734992679
"21","Montipora_capitata_HIv3___RNAseq.g2559.t1a","GO:0035330","regulation of hippo signaling",30,3,0.96,0.03195,"Biological Processes",19670,"Montipora_capitata_HIv3___Scaffold_8_542727",164,-23.16,"68.42%","84.21%",-0.842490832268827,0.1
"22","Montipora_capitata_HIv3___RNAseq.g6724.t1","GO:0051641","cellular localization",2732,83,87.62,0.01931,"Biological Processes",6777,"Montipora_capitata_HIv3___Scaffold_13_954675",152,-23.85,"66.67%","86.67%",-0.785136632215509,0.0303806734992679
"23","Montipora_capitata_HIv3___RNAseq.g5535.t1b","GO:0045736","negative regulation of cyclin-dependent protein ser...",17,5,0.55,0.00015,"Biological Processes",9575,"Montipora_capitata_HIv3___Scaffold_2_124999",157,-20.68,"71.43%","80.95%",-0.78617633516765,0.294117647058824
"24","Montipora_capitata_HIv3___RNAseq.g5535.t1b","GO:0045859","regulation of protein kinase activity",525,24,16.84,0.01518,"Biological Processes",9575,"Montipora_capitata_HIv3___Scaffold_2_124999",157,-20.68,"71.43%","80.95%",-0.78617633516765,0.0457142857142857
"25","Montipora_capitata_HIv3___RNAseq.g5535.t1b","GO:0051641","cellular localization",2732,83,87.62,0.01931,"Biological Processes",9575,"Montipora_capitata_HIv3___Scaffold_2_124999",157,-20.68,"71.43%","80.95%",-0.78617633516765,0.0303806734992679
"26","Montipora_capitata_HIv3___TS.g6117.t1","GO:0051641","cellular localization",2732,83,87.62,0.01931,"Biological Processes",11350,"Montipora_capitata_HIv3___Scaffold_2_71488",158,-21.05,"70.59%","82.35%",-0.714106231660209,0.0303806734992679
"27","Montipora_capitata_HIv3___RNAseq.g24337.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",25008,"Montipora_capitata_HIv3___Scaffold_9_617967",174,-21.89,"78.95%","94.74%",-0.873039149849853,0.0468085106382979
"28","Montipora_capitata_HIv3___RNAseq.g24337.t1","GO:0018393","internal peptidyl-lysine acetylation",110,8,3.53,0.02483,"Biological Processes",25008,"Montipora_capitata_HIv3___Scaffold_9_617967",174,-21.89,"78.95%","94.74%",-0.873039149849853,0.0727272727272727
"29","Montipora_capitata_HIv3___RNAseq.g24337.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",25008,"Montipora_capitata_HIv3___Scaffold_9_617967",174,-21.89,"78.95%","94.74%",-0.873039149849853,0.0400381315538608
"30","Montipora_capitata_HIv3___RNAseq.g24337.t1","GO:0060395","SMAD protein signal transduction",47,8,1.51,1e-04,"Biological Processes",25008,"Montipora_capitata_HIv3___Scaffold_9_617967",174,-21.89,"78.95%","94.74%",-0.873039149849853,0.170212765957447
"31","Montipora_capitata_HIv3___TS.g28612.t1","GO:0051641","cellular localization",2732,83,87.62,0.01931,"Biological Processes",6886,"Montipora_capitata_HIv3___Scaffold_13_954675",145,-21.23,"66.67%","91.67%",-0.804810557260422,0.0303806734992679
"32","Montipora_capitata_HIv3___RNAseq.g4335.t3","GO:0007010","cytoskeleton organization",972,40,31.17,0.01676,"Biological Processes",17442,"Montipora_capitata_HIv3___Scaffold_8_488597",145,-20.15,"100.00%","100.00%",-0.933019292020486,0.0411522633744856
"33","Montipora_capitata_HIv3___RNAseq.g19576.t1","GO:0042593","glucose homeostasis",221,11,7.09,0.02396,"Biological Processes",9333,"Montipora_capitata_HIv3___Scaffold_2_124999",161,-20.09,"91.67%","100.00%",-0.833848082443581,0.0497737556561086
"34","Montipora_capitata_HIv3___RNAseq.g19576.t1","GO:0051641","cellular localization",2732,83,87.62,0.01931,"Biological Processes",9333,"Montipora_capitata_HIv3___Scaffold_2_124999",161,-20.09,"91.67%","100.00%",-0.833848082443581,0.0303806734992679
"35","Montipora_capitata_HIv3___RNAseq.g19576.t1","GO:0060041","retina development in camera-type eye",174,9,5.58,0.0202,"Biological Processes",9333,"Montipora_capitata_HIv3___Scaffold_2_124999",161,-20.09,"91.67%","100.00%",-0.833848082443581,0.0517241379310345
"36","Montipora_capitata_HIv3___RNAseq.g34761.t1","GO:0045859","regulation of protein kinase activity",525,24,16.84,0.01518,"Biological Processes",25074,"Montipora_capitata_HIv3___Scaffold_9_617967",170,-24.2,"80.95%","85.71%",-0.818116964194951,0.0457142857142857
"37","Montipora_capitata_HIv3___RNAseq.g34761.t1","GO:1900044","regulation of protein K63-linked ubiquitination",9,2,0.29,0.03179,"Biological Processes",25074,"Montipora_capitata_HIv3___Scaffold_9_617967",170,-24.2,"80.95%","85.71%",-0.818116964194951,0.222222222222222
"38","Montipora_capitata_HIv3___RNAseq.g34761.t1","GO:1902498","regulation of protein autoubiquitination",4,2,0.13,0.00589,"Biological Processes",25074,"Montipora_capitata_HIv3___Scaffold_9_617967",170,-24.2,"80.95%","85.71%",-0.818116964194951,0.5
"39","Montipora_capitata_HIv3___RNAseq.g44976.t1","GO:0031344","regulation of cell projection organization",638,18,20.46,0.01992,"Biological Processes",24614,"Montipora_capitata_HIv3___Scaffold_9_613239",154,-27.59,"65.38%","76.92%",-0.706681952533984,0.0282131661442006
"40","Montipora_capitata_HIv3___RNAseq.g34920.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",10932,"Montipora_capitata_HIv3___Scaffold_2_71488",157,-22.32,"85.71%","92.86%",-0.836502356776555,0.0468085106382979
"41","Montipora_capitata_HIv3___RNAseq.g34920.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",10932,"Montipora_capitata_HIv3___Scaffold_2_71488",157,-22.32,"85.71%","92.86%",-0.836502356776555,0.0400381315538608
"42","Montipora_capitata_HIv3___RNAseq.g304.t1","GO:0051641","cellular localization",2732,83,87.62,0.01931,"Biological Processes",24398,"Montipora_capitata_HIv3___Scaffold_9_613239",145,-24.78,"65.22%","69.57%",-0.966401164099845,0.0303806734992679
"43","Montipora_capitata_HIv3___RNAseq.g3294.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",1709,"Montipora_capitata_HIv3___Scaffold_10_729473",141,-20.68,"68.75%","75.00%",-0.89349084205342,0.0468085106382979
"44","Montipora_capitata_HIv3___RNAseq.g3294.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",2964,"Montipora_capitata_HIv3___Scaffold_11_826703",141,-20.68,"68.75%","75.00%",-0.89349084205342,0.0468085106382979
"45","Montipora_capitata_HIv3___RNAseq.g3294.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",8803,"Montipora_capitata_HIv3___Scaffold_151_1075760",141,-20.68,"68.75%","75.00%",-0.89349084205342,0.0468085106382979
"46","Montipora_capitata_HIv3___RNAseq.g3294.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",1709,"Montipora_capitata_HIv3___Scaffold_10_729473",141,-20.68,"68.75%","75.00%",-0.89349084205342,0.0400381315538608
"47","Montipora_capitata_HIv3___RNAseq.g3294.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",2964,"Montipora_capitata_HIv3___Scaffold_11_826703",141,-20.68,"68.75%","75.00%",-0.89349084205342,0.0400381315538608
"48","Montipora_capitata_HIv3___RNAseq.g3294.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",8803,"Montipora_capitata_HIv3___Scaffold_151_1075760",141,-20.68,"68.75%","75.00%",-0.89349084205342,0.0400381315538608
"49","Montipora_capitata_HIv3___RNAseq.g5370.t1","GO:0045859","regulation of protein kinase activity",525,24,16.84,0.01518,"Biological Processes",5847,"Montipora_capitata_HIv3___Scaffold_13_949160",151,-20.73,"71.43%","85.71%",-0.753224757516311,0.0457142857142857
"50","Montipora_capitata_HIv3___RNAseq.g5370.t1","GO:0045859","regulation of protein kinase activity",525,24,16.84,0.01518,"Biological Processes",5848,"Montipora_capitata_HIv3___Scaffold_13_949160",155,-22.32,"66.67%","77.78%",-0.753224757516311,0.0457142857142857
"51","Montipora_capitata_HIv3___RNAseq.g7346.t1","GO:1904668","positive regulation of ubiquitin protein ligase act...",12,3,0.38,0.00579,"Biological Processes",19278,"Montipora_capitata_HIv3___Scaffold_8_535535",147,-20.84,"68.42%","78.95%",-0.720409797091742,0.25
"52","Montipora_capitata_HIv3___RNAseq.g49671.t1","GO:0007010","cytoskeleton organization",972,40,31.17,0.01676,"Biological Processes",17018,"Montipora_capitata_HIv3___Scaffold_7_456843",162,-20.16,"73.68%","84.21%",-0.704055551356529,0.0411522633744856
"53","Montipora_capitata_HIv3___RNAseq.g49671.t1","GO:0007344","pronuclear fusion",7,2,0.22,0.01935,"Biological Processes",17018,"Montipora_capitata_HIv3___Scaffold_7_456843",162,-20.16,"73.68%","84.21%",-0.704055551356529,0.285714285714286
"54","Montipora_capitata_HIv3___RNAseq.g49671.t1","GO:0035044","sperm aster formation",4,2,0.13,0.00589,"Biological Processes",17018,"Montipora_capitata_HIv3___Scaffold_7_456843",162,-20.16,"73.68%","84.21%",-0.704055551356529,0.5
"55","Montipora_capitata_HIv3___RNAseq.g49671.t1","GO:0045736","negative regulation of cyclin-dependent protein ser...",17,5,0.55,0.00015,"Biological Processes",17018,"Montipora_capitata_HIv3___Scaffold_7_456843",162,-20.16,"73.68%","84.21%",-0.704055551356529,0.294117647058824
"56","Montipora_capitata_HIv3___RNAseq.g49671.t1","GO:0045859","regulation of protein kinase activity",525,24,16.84,0.01518,"Biological Processes",17018,"Montipora_capitata_HIv3___Scaffold_7_456843",162,-20.16,"73.68%","84.21%",-0.704055551356529,0.0457142857142857
"57","Montipora_capitata_HIv3___RNAseq.g49671.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",17018,"Montipora_capitata_HIv3___Scaffold_7_456843",162,-20.16,"73.68%","84.21%",-0.704055551356529,0.0400381315538608
"58","Montipora_capitata_HIv3___RNAseq.g49671.t1","GO:0051641","cellular localization",2732,83,87.62,0.01931,"Biological Processes",17018,"Montipora_capitata_HIv3___Scaffold_7_456843",162,-20.16,"73.68%","84.21%",-0.704055551356529,0.0303806734992679
"59","Montipora_capitata_HIv3___RNAseq.g49671.t1","GO:0060631","regulation of meiosis I",15,3,0.48,0.01405,"Biological Processes",17018,"Montipora_capitata_HIv3___Scaffold_7_456843",162,-20.16,"73.68%","84.21%",-0.704055551356529,0.2
"60","Montipora_capitata_HIv3___RNAseq.g49671.t1","GO:1904668","positive regulation of ubiquitin protein ligase act...",12,3,0.38,0.00579,"Biological Processes",17018,"Montipora_capitata_HIv3___Scaffold_7_456843",162,-20.16,"73.68%","84.21%",-0.704055551356529,0.25
"61","Montipora_capitata_HIv3___RNAseq.g24698.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",9366,"Montipora_capitata_HIv3___Scaffold_2_124999",149,-20.22,"63.64%","72.73%",-0.893945113773111,0.0468085106382979
"62","Montipora_capitata_HIv3___RNAseq.g24698.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",17330,"Montipora_capitata_HIv3___Scaffold_8_488597",142,-20.15,"88.89%","88.89%",-0.834260890604471,0.0468085106382979
"63","Montipora_capitata_HIv3___RNAseq.g24698.t1","GO:0007141","male meiosis I",28,4,0.9,0.01156,"Biological Processes",9366,"Montipora_capitata_HIv3___Scaffold_2_124999",149,-20.22,"63.64%","72.73%",-0.893945113773111,0.142857142857143
"64","Montipora_capitata_HIv3___RNAseq.g24698.t1","GO:0007141","male meiosis I",28,4,0.9,0.01156,"Biological Processes",17330,"Montipora_capitata_HIv3___Scaffold_8_488597",142,-20.15,"88.89%","88.89%",-0.834260890604471,0.142857142857143
"65","Montipora_capitata_HIv3___RNAseq.g24698.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",9366,"Montipora_capitata_HIv3___Scaffold_2_124999",149,-20.22,"63.64%","72.73%",-0.893945113773111,0.0400381315538608
"66","Montipora_capitata_HIv3___RNAseq.g24698.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",17330,"Montipora_capitata_HIv3___Scaffold_8_488597",142,-20.15,"88.89%","88.89%",-0.834260890604471,0.0400381315538608
"67","Montipora_capitata_HIv3___RNAseq.g45111.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",13476,"Montipora_capitata_HIv3___Scaffold_5_307262",168,-20.54,"72.73%","81.82%",-0.834938709360373,0.0468085106382979
"68","Montipora_capitata_HIv3___RNAseq.g45111.t1","GO:0007010","cytoskeleton organization",972,40,31.17,0.01676,"Biological Processes",13476,"Montipora_capitata_HIv3___Scaffold_5_307262",168,-20.54,"72.73%","81.82%",-0.834938709360373,0.0411522633744856
"69","Montipora_capitata_HIv3___RNAseq.g45111.t1","GO:0018012","N-terminal peptidyl-alanine trimethylation",1,1,0.03,0.03207,"Biological Processes",13476,"Montipora_capitata_HIv3___Scaffold_5_307262",168,-20.54,"72.73%","81.82%",-0.834938709360373,1
"70","Montipora_capitata_HIv3___RNAseq.g45111.t1","GO:0018013","N-terminal peptidyl-glycine methylation",1,1,0.03,0.03207,"Biological Processes",13476,"Montipora_capitata_HIv3___Scaffold_5_307262",168,-20.54,"72.73%","81.82%",-0.834938709360373,1
"71","Montipora_capitata_HIv3___RNAseq.g45111.t1","GO:0018016","N-terminal peptidyl-proline dimethylation",1,1,0.03,0.03207,"Biological Processes",13476,"Montipora_capitata_HIv3___Scaffold_5_307262",168,-20.54,"72.73%","81.82%",-0.834938709360373,1
"72","Montipora_capitata_HIv3___RNAseq.g45111.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",13476,"Montipora_capitata_HIv3___Scaffold_5_307262",168,-20.54,"72.73%","81.82%",-0.834938709360373,0.0400381315538608
"73","Montipora_capitata_HIv3___RNAseq.g20133.t1","GO:0007010","cytoskeleton organization",972,40,31.17,0.01676,"Biological Processes",16628,"Montipora_capitata_HIv3___Scaffold_7_456843",170,-23.1,"73.68%","94.74%",-0.840610691372361,0.0411522633744856
"74","Montipora_capitata_HIv3___RNAseq.g20133.t1","GO:0008360","regulation of cell shape",119,8,3.82,0.01906,"Biological Processes",16628,"Montipora_capitata_HIv3___Scaffold_7_456843",170,-23.1,"73.68%","94.74%",-0.840610691372361,0.0672268907563025
"75","Montipora_capitata_HIv3___RNAseq.g20133.t1","GO:0031344","regulation of cell projection organization",638,18,20.46,0.01992,"Biological Processes",16628,"Montipora_capitata_HIv3___Scaffold_7_456843",170,-23.1,"73.68%","94.74%",-0.840610691372361,0.0282131661442006
"76","Montipora_capitata_HIv3___RNAseq.g20133.t1","GO:0032496","response to lipopolysaccharide",223,12,7.15,0.00657,"Biological Processes",16628,"Montipora_capitata_HIv3___Scaffold_7_456843",170,-23.1,"73.68%","94.74%",-0.840610691372361,0.0538116591928251
"77","Montipora_capitata_HIv3___RNAseq.g20133.t1","GO:0033007","negative regulation of mast cell activation involve...",3,2,0.1,0.00301,"Biological Processes",16628,"Montipora_capitata_HIv3___Scaffold_7_456843",170,-23.1,"73.68%","94.74%",-0.840610691372361,0.666666666666667
"78","Montipora_capitata_HIv3___RNAseq.g20133.t1","GO:0036216","cellular response to stem cell factor stimulus",3,2,0.1,0.03197,"Biological Processes",16628,"Montipora_capitata_HIv3___Scaffold_7_456843",170,-23.1,"73.68%","94.74%",-0.840610691372361,0.666666666666667
"79","Montipora_capitata_HIv3___RNAseq.g45619.t1","GO:0032496","response to lipopolysaccharide",223,12,7.15,0.00657,"Biological Processes",11077,"Montipora_capitata_HIv3___Scaffold_2_71488",168,-27.66,"82.35%","94.12%",-0.768892223873785,0.0538116591928251
"80","Montipora_capitata_HIv3___RNAseq.g45619.t1","GO:0042908","xenobiotic transport",87,4,2.79,0.03204,"Biological Processes",11077,"Montipora_capitata_HIv3___Scaffold_2_71488",168,-27.66,"82.35%","94.12%",-0.768892223873785,0.0459770114942529
"81","Montipora_capitata_HIv3___RNAseq.g45619.t1","GO:0071548","response to dexamethasone",36,5,1.15,0.00903,"Biological Processes",11077,"Montipora_capitata_HIv3___Scaffold_2_71488",168,-27.66,"82.35%","94.12%",-0.768892223873785,0.138888888888889
"82","Montipora_capitata_HIv3___RNAseq.g40234.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",9992,"Montipora_capitata_HIv3___Scaffold_2_64557",160,-20.6,"66.67%","80.95%",-0.944631713572294,0.0468085106382979
"83","Montipora_capitata_HIv3___RNAseq.g40234.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",17424,"Montipora_capitata_HIv3___Scaffold_8_488597",150,-22.83,"100.00%","100.00%",-0.879070695927975,0.0468085106382979
"84","Montipora_capitata_HIv3___RNAseq.g40234.t1","GO:0035212","cell competition in a multicellular organism",16,5,0.51,0.00011,"Biological Processes",9992,"Montipora_capitata_HIv3___Scaffold_2_64557",160,-20.6,"66.67%","80.95%",-0.944631713572294,0.3125
"85","Montipora_capitata_HIv3___RNAseq.g40234.t1","GO:0035212","cell competition in a multicellular organism",16,5,0.51,0.00011,"Biological Processes",17424,"Montipora_capitata_HIv3___Scaffold_8_488597",150,-22.83,"100.00%","100.00%",-0.879070695927975,0.3125
"86","Montipora_capitata_HIv3___RNAseq.g40234.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",9992,"Montipora_capitata_HIv3___Scaffold_2_64557",160,-20.6,"66.67%","80.95%",-0.944631713572294,0.0400381315538608
"87","Montipora_capitata_HIv3___RNAseq.g40234.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",17424,"Montipora_capitata_HIv3___Scaffold_8_488597",150,-22.83,"100.00%","100.00%",-0.879070695927975,0.0400381315538608
"88","Montipora_capitata_HIv3___RNAseq.g20515.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",15018,"Montipora_capitata_HIv3___Scaffold_6_400996",160,-23.48,"66.67%","75.00%",-0.918186812192097,0.0400381315538608
"89","Montipora_capitata_HIv3___RNAseq.g33559.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",1716,"Montipora_capitata_HIv3___Scaffold_10_729473",149,-21.37,"75.00%","91.67%",-0.747873627702138,0.0468085106382979
"90","Montipora_capitata_HIv3___RNAseq.g33559.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",2971,"Montipora_capitata_HIv3___Scaffold_11_826703",149,-21.37,"75.00%","91.67%",-0.747873627702138,0.0468085106382979
"91","Montipora_capitata_HIv3___RNAseq.g33559.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",8810,"Montipora_capitata_HIv3___Scaffold_151_1075760",149,-21.37,"75.00%","91.67%",-0.747873627702138,0.0468085106382979
"92","Montipora_capitata_HIv3___RNAseq.g33559.t1","GO:0018393","internal peptidyl-lysine acetylation",110,8,3.53,0.02483,"Biological Processes",1716,"Montipora_capitata_HIv3___Scaffold_10_729473",149,-21.37,"75.00%","91.67%",-0.747873627702138,0.0727272727272727
"93","Montipora_capitata_HIv3___RNAseq.g33559.t1","GO:0018393","internal peptidyl-lysine acetylation",110,8,3.53,0.02483,"Biological Processes",2971,"Montipora_capitata_HIv3___Scaffold_11_826703",149,-21.37,"75.00%","91.67%",-0.747873627702138,0.0727272727272727
"94","Montipora_capitata_HIv3___RNAseq.g33559.t1","GO:0018393","internal peptidyl-lysine acetylation",110,8,3.53,0.02483,"Biological Processes",8810,"Montipora_capitata_HIv3___Scaffold_151_1075760",149,-21.37,"75.00%","91.67%",-0.747873627702138,0.0727272727272727
"95","Montipora_capitata_HIv3___RNAseq.g33559.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",1716,"Montipora_capitata_HIv3___Scaffold_10_729473",149,-21.37,"75.00%","91.67%",-0.747873627702138,0.0400381315538608
"96","Montipora_capitata_HIv3___RNAseq.g33559.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",2971,"Montipora_capitata_HIv3___Scaffold_11_826703",149,-21.37,"75.00%","91.67%",-0.747873627702138,0.0400381315538608
"97","Montipora_capitata_HIv3___RNAseq.g33559.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",8810,"Montipora_capitata_HIv3___Scaffold_151_1075760",149,-21.37,"75.00%","91.67%",-0.747873627702138,0.0400381315538608
"98","Montipora_capitata_HIv3___TS.g1787.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",8429,"Montipora_capitata_HIv3___Scaffold_14_999529",169,-23.11,"83.33%","88.89%",-0.739757119419424,0.0468085106382979
"99","Montipora_capitata_HIv3___TS.g1787.t1","GO:0006591","ornithine metabolic process",9,2,0.29,0.03179,"Biological Processes",8429,"Montipora_capitata_HIv3___Scaffold_14_999529",169,-23.11,"83.33%","88.89%",-0.739757119419424,0.222222222222222
"100","Montipora_capitata_HIv3___TS.g1787.t1","GO:0007164","establishment of tissue polarity",122,4,3.91,0.00104,"Biological Processes",8429,"Montipora_capitata_HIv3___Scaffold_14_999529",169,-23.11,"83.33%","88.89%",-0.739757119419424,0.0327868852459016
"101","Montipora_capitata_HIv3___TS.g1787.t1","GO:0009749","response to glucose",178,9,5.71,0.01824,"Biological Processes",8429,"Montipora_capitata_HIv3___Scaffold_14_999529",169,-23.11,"83.33%","88.89%",-0.739757119419424,0.050561797752809
"102","Montipora_capitata_HIv3___TS.g1787.t1","GO:0016042","lipid catabolic process",228,7,7.31,0.0256,"Biological Processes",8429,"Montipora_capitata_HIv3___Scaffold_14_999529",169,-23.11,"83.33%","88.89%",-0.739757119419424,0.0307017543859649
"103","Montipora_capitata_HIv3___TS.g1787.t1","GO:0031344","regulation of cell projection organization",638,18,20.46,0.01992,"Biological Processes",8429,"Montipora_capitata_HIv3___Scaffold_14_999529",169,-23.11,"83.33%","88.89%",-0.739757119419424,0.0282131661442006
"104","Montipora_capitata_HIv3___TS.g1787.t1","GO:0032496","response to lipopolysaccharide",223,12,7.15,0.00657,"Biological Processes",8429,"Montipora_capitata_HIv3___Scaffold_14_999529",169,-23.11,"83.33%","88.89%",-0.739757119419424,0.0538116591928251
